scenario,algo_name,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
tracking_drill,trinc,0.09850907579446,0.4,-0.023410348285185248,1.2451467746884344,0.1438476644980564,18,56
progressive_ramp,pid,0.08622494157268978,5.7,-0.043861821620946026,9.526583448024873,5.950526111429017,63,63
progressive_ramp,pid_deadzone,0.10438197728261167,5.7,-0.06128506104628785,9.185219090240015,5.6625478391116735,59,59
progressive_ramp,event_pid,0.12094018865403244,5.7,-0.06403319527304295,8.964522324769609,5.568246676446719,58,58
progressive_ramp,lif_snn,0.08016817202302473,5.7,-0.01602477564688479,10.167096047226437,7.264124466287294,137,137
progressive_ramp,trinc,0.5774667238493568,5.7,-0.5119916212143379,5.845937572226086,2.2220568358810304,38,166
sensor_edge,pid,0.1107771159490365,2.9000000000000004,-0.0546827978206203,3.959293019938052,1.3922861152378996,50,50
sensor_edge,pid_deadzone,0.13729295239033557,2.9000000000000004,-0.07526156534255232,3.55159329209687,1.201847483200824,47,47
sensor_edge,event_pid,0.14013105802507164,2.9000000000000004,-0.059631772567796504,3.7184673881099153,1.237559951983958,44,44
sensor_edge,lif_snn,0.09037596306469464,2.9000000000000004,-0.017016456722307484,4.339411411999567,2.730341179429617,78,78
sensor_edge,trinc,0.21707322395563722,2.9000000000000004,-0.11278745296596884,3.049160513922006,0.9917611309359838,23,100
cooling_loss,pid,0.15296604235431666,1.3,-2.810798820335192e-06,9.806622603729576,6.453670234796935,44,44
cooling_loss,pid_deadzone,0.16152647774500262,1.3,-0.03770409414491624,9.312307196371306,5.865880958155152,46,46
cooling_loss,event_pid,0.16389176674386596,1.3,-0.007899608574995293,9.536421813683408,6.136888930952311,34,34
cooling_loss,lif_snn,0.07701165587681158,1.3,-0.00901251299832782,10.425498826128365,7.462035106884503,139,139
cooling_loss,trinc,0.4959048907162733,1.3,-0.28601722623745707,4.9366691816427055,1.8214260969380018,31,152
thermal_resilience,pid,0.14988677436958242,1.4000000000000001,-0.023623282067298593,8.44221187913861,4.13051471096374,68,68
thermal_resilience,pid_deadzone,0.15551998039747683,1.4000000000000001,-0.04860259307699955,7.867315349936333,3.72416612243841,69,69
thermal_resilience,event_pid,0.15879154152401165,1.4000000000000001,-0.029309865849265416,8.266457864942566,3.950685178163006,64,64
thermal_resilience,lif_snn,0.0828271569259541,1.4000000000000001,-0.0068149860101196745,8.764177257627008,5.5663374092036655,130,130
thermal_resilience,trinc,0.3478263028992574,1.4000000000000001,-0.1793361372027855,6.095900454128401,2.288069916097406,34,178
